	State	Area code	Total day minutes	Total day calls	International plan	Voice mail plan	Churn Prediction	False_Probability	True_Probability
499	IL	510	108.3	87	No	No	False	0.828	0.172
500	KY	415	247.2	116	No	No	False	0.574	0.426
501	TN	415	166.9	98	No	No	False	0.556	0.444
502	GA	510	71.2	90	No	No	False	0.752	0.248
503	MN	415	164.1	106	No	No	False	0.912	0.088
504	MT	415	154.4	130	No	No	False	0.68	0.32
505	ND	408	231.2	141	No	No	False	0.616	0.384
506	VA	415	202.9	100	No	No	False	0.582	0.418
507	ND	415	177.2	88	No	No	False	0.826	0.174
508	TN	415	133.1	80	No	No	False	0.878	0.122
509	NE	415	243.4	126	No	Yes	False	0.76	0.24
510	IN	408	168.3	124	No	Yes	False	0.642	0.358
511	OR	415	111.6	140	No	Yes	False	0.89	0.11
512	TN	415	206.2	113	No	No	False	0.94	0.06
513	TX	408	156.7	51	No	Yes	False	0.804	0.196
514	TN	415	221.0	126	No	No	True	0.492	0.508
515	NC	510	165.7	94	No	No	False	0.732	0.268
516	MT	510	154.8	82	No	No	False	0.79	0.21
517	HI	510	125.4	116	No	No	False	0.82	0.18
518	MI	415	124.8	114	No	No	False	0.688	0.312
519	AL	415	179.2	85	No	No	False	0.94	0.06
520	CT	415	245.9	73	No	No	False	0.686	0.314
521	UT	510	205.9	96	No	No	False	0.868	0.132
522	DC	415	186.8	92	No	No	False	0.596	0.404
523	UT	510	192.1	95	No	No	False	0.792	0.208
524	MN	415	240.7	82	No	No	True	0.366	0.634
525	SC	510	255.1	124	No	No	True	0.48	0.52
526	NH	408	183.6	138	No	Yes	False	0.86	0.14
527	MD	415	155.2	116	No	Yes	False	0.868	0.132
528	OK	510	203.4	125	No	No	False	0.918	0.082
529	NJ	415	279.1	124	No	No	True	0.308	0.692
530	HI	510	189.8	122	No	No	False	0.876	0.124
531	DE	415	198.5	124	No	No	False	0.758	0.242
532	AL	510	158.7	84	No	No	False	0.754	0.246
533	KS	510	137.8	97	No	No	False	0.918	0.082
534	AK	408	139.3	101	No	Yes	False	0.774	0.226
535	WI	408	177.4	136	No	No	False	0.884	0.116
536	IN	408	115.6	129	No	No	False	0.872	0.128
537	DC	408	51.5	90	No	No	True	0.432	0.568
538	MS	415	131.7	99	No	No	False	0.942	0.058
539	NH	408	106.5	65	No	Yes	False	0.82	0.18
540	NJ	510	247.2	105	No	Yes	False	0.898	0.102
541	VT	415	158.8	119	No	No	False	0.936	0.064
542	MD	408	239.1	88	No	No	False	0.566	0.434
543	KS	415	175.8	126	Yes	Yes	True	0.302	0.698
544	NH	415	193.3	66	No	Yes	False	0.74	0.26
545	AZ	415	137.8	95	No	Yes	False	0.798	0.202
546	ID	415	263.7	113	No	No	False	0.52	0.48
547	TX	408	252.0	101	No	No	False	0.654	0.346
548	RI	408	163.1	94	Yes	No	True	0.242	0.758
549	OR	415	324.7	48	No	No	True	0.314	0.686
550	NC	408	203.3	70	No	No	False	0.938	0.062
551	NM	415	175.4	88	No	Yes	False	0.798	0.202
552	SC	415	266.0	97	No	No	False	0.518	0.482
553	AZ	510	78.7	98	No	No	False	0.916	0.084
554	WV	415	225.9	123	No	No	False	0.622	0.378
555	NY	408	216.8	77	No	No	False	0.874	0.126
556	WV	415	58.0	125	No	No	False	0.882	0.118
557	NM	415	173.2	80	No	No	False	0.822	0.178
558	ME	415	236.8	102	No	No	False	0.688	0.312
559	WI	408	237.3	83	No	No	False	0.858	0.142
560	NJ	408	158.6	67	No	No	False	0.762	0.238
561	WY	510	296.0	93	No	No	True	0.23	0.77
562	AR	415	157.3	123	No	Yes	False	0.93	0.07
563	PA	408	144.4	88	No	No	False	0.922	0.078
564	TN	415	77.6	141	No	Yes	False	0.906	0.094
565	CT	408	80.3	94	No	Yes	False	0.852	0.148
566	MA	408	190.3	115	No	Yes	False	0.796	0.204
567	OH	510	209.4	67	No	No	False	0.802	0.198
568	KS	415	208.8	119	No	Yes	True	0.486	0.514
569	OK	415	113.6	87	No	No	False	0.742	0.258
570	UT	415	202.6	89	No	No	False	0.79	0.21
571	OH	415	135.2	98	No	No	False	0.716	0.284
572	WA	415	276.9	105	No	No	True	0.2	0.8
573	IN	510	287.4	116	No	No	True	0.318	0.682
574	NE	415	97.5	129	No	No	False	0.9	0.1
575	AL	415	166.5	102	No	No	False	0.908	0.092
576	PA	408	102.1	75	No	No	False	0.944	0.056
577	OR	415	146.5	73	No	Yes	False	0.812	0.188
578	MN	408	250.8	146	Yes	No	False	0.632	0.368
579	GA	415	163.4	83	No	No	True	0.274	0.726
580	TX	415	161.0	113	No	No	False	0.54	0.46
581	NM	415	81.6	94	No	No	False	0.974	0.026
582	NC	408	128.6	115	No	No	True	0.216	0.784
583	ID	415	183.8	102	No	Yes	False	0.876	0.124
584	WI	415	180.2	134	No	No	False	0.892	0.108
585	SC	415	147.8	132	No	Yes	False	0.896	0.104
586	NV	408	110.9	54	No	No	False	0.774	0.226
587	NE	510	58.2	96	No	No	False	0.858	0.142
588	UT	510	212.7	72	No	No	False	0.93	0.07
589	HI	415	214.0	117	No	No	False	0.67	0.33
590	MI	408	115.1	114	Yes	No	True	0.144	0.856
591	MO	415	156.4	116	Yes	No	False	0.838	0.162
592	AL	415	128.1	104	No	Yes	False	0.89	0.11
593	VT	408	227.9	130	No	No	False	0.59	0.41
594	VA	408	44.9	63	No	Yes	False	0.852	0.148
595	RI	415	171.1	78	No	No	False	0.906	0.094
596	MD	510	205.2	145	No	No	False	0.804	0.196
597	OH	415	232.8	97	No	Yes	False	0.92	0.08
598	CO	415	153.5	78	No	Yes	False	0.952	0.048
599	UT	510	203.0	92	No	No	False	0.904	0.096
600	CO	415	85.9	92	No	No	False	0.81	0.19
601	KY	415	146.7	83	Yes	No	True	0.1	0.9
602	DC	415	152.8	145	No	No	False	0.886	0.114
603	MA	408	216.8	134	No	No	False	0.756	0.244
604	AZ	415	172.8	81	No	No	False	0.842	0.158
605	IL	510	263.4	123	No	No	False	0.684	0.316
606	CO	408	271.8	129	No	No	True	0.394	0.606
607	OR	510	199.6	93	No	No	False	0.828	0.172
608	MS	510	203.9	63	No	No	False	0.69	0.31
609	SC	510	78.3	119	No	No	False	0.658	0.342
610	IN	415	125.2	123	No	Yes	False	0.77	0.23
611	ME	415	221.1	101	No	No	False	0.764	0.236
612	DE	408	139.0	110	No	No	False	0.884	0.116
613	OR	415	159.8	143	No	No	False	0.692	0.308
614	NJ	415	239.3	102	No	No	False	0.56	0.44
615	MT	415	113.3	96	No	No	True	0.28	0.72
616	WV	510	192.6	123	No	No	False	0.834	0.166
617	NJ	408	96.3	83	No	Yes	False	0.826	0.174
618	IN	408	280.4	127	No	No	False	0.522	0.478
619	NM	415	245.3	91	No	No	True	0.45	0.55
620	MT	415	151.5	100	No	Yes	False	0.816	0.184
621	NM	415	190.0	100	No	No	False	0.69	0.31
622	IL	408	114.8	94	No	No	False	0.558	0.442
623	IN	408	113.8	97	No	No	False	0.642	0.358
624	ND	415	227.4	67	No	No	False	0.86	0.14
625	NH	408	224.0	99	No	No	False	0.832	0.168
626	NM	408	153.9	102	No	Yes	False	0.894	0.106
627	LA	415	190.5	128	No	No	False	0.778	0.222
628	KY	510	157.3	116	No	No	False	0.654	0.346
629	WV	415	240.3	130	No	No	False	0.838	0.162
630	WV	408	211.9	40	No	Yes	False	0.792	0.208
631	IA	415	113.7	67	No	No	False	0.804	0.196
632	NE	415	174.7	86	No	Yes	False	0.888	0.112
633	WA	510	161.4	84	No	No	False	0.924	0.076
634	PA	510	230.7	101	No	Yes	False	0.916	0.084
635	ID	408	232.6	96	No	No	False	0.668	0.332
636	DC	408	306.2	123	No	Yes	False	0.86	0.14
637	KY	415	236.8	135	No	No	False	0.744	0.256
638	SC	408	153.5	94	No	No	False	0.978	0.022
639	NC	408	159.5	145	No	No	False	0.778	0.222
640	NY	415	153.7	105	No	No	False	0.912	0.088
641	OR	510	232.1	81	No	No	False	0.79	0.21
642	IL	415	201.9	86	No	No	False	0.956	0.044
643	MA	408	186.9	79	No	No	False	0.976	0.024
644	CT	510	196.6	89	No	Yes	False	0.962	0.038
645	WI	510	232.1	102	No	No	False	0.876	0.124
646	OK	415	166.0	79	No	No	False	0.92	0.08
647	AZ	408	141.0	101	No	Yes	False	0.816	0.184
648	KS	415	231.3	87	No	No	False	0.71	0.29
649	KS	415	154.8	69	No	Yes	False	0.812	0.188
650	WY	408	243.0	115	No	No	False	0.798	0.202
651	OK	510	155.2	139	No	Yes	False	0.666	0.334
652	WA	415	289.1	100	No	No	True	0.414	0.586
653	MD	510	295.0	141	No	No	True	0.21	0.79
654	NY	510	128.5	115	No	Yes	False	0.958	0.042
655	WI	415	238.0	97	No	No	False	0.754	0.246
656	AK	510	238.4	96	No	No	True	0.38	0.62
657	AZ	415	141.1	109	No	Yes	False	0.908	0.092
658	KS	415	158.1	117	No	No	False	0.94	0.06
659	CA	510	107.9	128	No	No	False	0.834	0.166
660	IN	408	203.8	85	No	No	False	0.734	0.266
661	CA	415	280.0	113	No	No	True	0.18	0.82
662	WI	415	137.1	88	No	Yes	False	0.782	0.218
663	AL	408	83.6	131	No	Yes	False	0.89	0.11
664	VT	415	193.9	118	No	No	False	0.79	0.21
665	WV	415	169.8	114	No	No	False	0.676	0.324
666	CT	510	213.8	105	Yes	No	False	0.728	0.272
